auth,title,pub,month,day,year,link,quote.cite,work.cited
Paul Egan,Lights turn green for traffic signal company that hired MDOT director,Detroit Free Press,October,14,2019,https://www.freep.com/story/news/local/michigan/2019/10/14/kirk-steudle-econolite-traffic-signal-contract/3906292002/,0,1
Caroline Halter,Ethics Commission Passes 'Revolving Door' Rule Again,KGOU,September,17,2019,https://www.kgou.org/news/2018-09-17/ethics-commission-passes-revolving-door-rule-again,0,1
Ken Jr. Ward,Lawmakers Call for Ethics Reform to Deal With Billionaire Resort-Owning Governor,ProPublica,August,21,2019,https://www.propublica.org/article/lawmakers-call-for-ethics-reform-to-deal-with-billionaire-resort-owning-governor,0,1
Tivas Gupta,Illinois one of 11 states that lets departing lawmakers immediately become lobbyists,Madison-St. Clair Record,August,20,2019,https://madisonrecord.com/stories/513128905-illinois-one-of-11-states-that-lets-departing-lawmakers-immediately-become-lobbyists,0,1
John Hageman,Panel picks members of North Dakota ethics commission,Grand Forks Herald,August,8,2019,https://www.grandforksherald.com/news/panel-picks-members-of-north-dakota-ethics-commission,0,1
Bruce Schreiner,Andy Beshear proposes term limits and a lifetime lobbying ban for lawmakers,Louisville Courier Journal,July,30,2019,https://www.courier-journal.com/story/news/politics/elections/kentucky/2019/07/30/beshear-proposes-term-limits-lobbying-ban-lawmakers/1868758001/,0,1
John Hageman,Legislator as landlord: Financial disclosures don't highlight state agency leases with North Dakota elected officials,Grand Forks Herald,June,30,2019,https://www.grandforksherald.com/news/legislator-as-landlord-financial-disclosures-dont-highlight-state-agency-leases-with-north-dakota-elected-officials,0,1
Mark Scolforo,Pennsylvania Lawmakers Report $38K in Travel on Annual Ethics Disclosures,The Philadelphia Inquirer,May,27,2019,https://www.inquirer.com/politics/pennsylvania/lawmakers-report-travel-and-gifts-on-annual-ethics-disclosures-20190527.html,0,1
John Hageman,"""From nothing"": North Dakota officials prepare to appoint ethics commission",Bismarck Tribune,May,17,2019,https://bismarcktribune.com/news/local/govt-and-politics/from-nothing-north-dakota-officials-prepare-to-appoint-ethics-commission/article_e39cd838-34b4-5392-ac02-793afb241935.html,0,1
Trevor Brown,Donations to Lawmakers Keep Flowing Even As They Vote on Bills,Oklahoma Watch,May,6,2019,https://oklahomawatch.org/2019/05/06/cash-flow-continues-despite-officeholders-fundraising-restrictions/,0,1
Luke Ramseth and Geoff Pender,No limits: Other states ban gifts to lawmakers. Why doesn’t Mississippi?,Mississippi Clarion Ledger,April,10,2019,https://www.clarionledger.com/story/news/politics/2019/04/10/mississippi-lobbying-laws-why-not-ban-gifts-lawmakers/3066519002/,0,1
Claire Withycombe and Aubrey Wieber,From state to local: how government puts lobbyists to work,Salem Reporter,April,10,2019,https://www.salemreporter.com/2019/04/10/from-state-to-local-how-government-puts-lobbyists-to-work/,0,1
Claire Withycombe and Aubrey Wieber,Spending tax dollars for more tax dollars,Mail Tribune,April,10,2019,,0,1
Andrew Oxford,Governor signs bill for ethics commission,Santa Fe New Mexican,March,28,2019,https://www.santafenewmexican.com/news/local_news/governor-signs-bill-for-ethics-commission/article_e2d1d1cd-dedd-5b79-8e52-8aef37d4e87c.html,0,1
Lindsay VanHulle,Michigan senator seeks to end 'revolving door' of lawmakers turned lobbyists,Michigan Bridge,February,18,2019,https://www.bridgemi.com/michigan-government/michigan-senator-seeks-end-revolving-door-lawmakers-turned-lobbyists,0,1
Editorial Board,Not so fast on transition from legislator to lobbyist,The Seattle Times,December,26,2018,https://www.seattletimes.com/opinion/editorials/not-so-fast-on-transition-from-legislator-to-lobbyist/,0,1
Associated Press,New Mexico voters approve constitutional amendment to form state ethics commission,Las Cruces Sun News,November,6,2018,https://www.lcsun-news.com/story/news/politics/elections/2018/11/06/new-mexico-voters-approve-constitutional-amendment-ethics-commission/1914218002/,0,1
Darren Fishell,"As governor, Moody would keep hold of rapidly growing business interests",Bangor Daily News,October,15,2018,https://www.bangordailynews.com/2018/10/15/mainefocus/as-governor-moody-would-keep-hold-of-rapidly-growing-business-interests/,0,1
Katie Bernard,Kansas bill would limit lobbying by former state officials,The Topeka Capital-Journal,January,29,2018,https://www.cjonline.com/story/news/politics/state/2018/01/29/kansas-bill-would-limit-lobbying-by-former-state-officials/15379213007/,0,1
